event_start_utc,event_end_utc,currency,impact,event_name,source
2020-01-02T14:30:00+00:00,2020-01-02T14:30:01+00:00,USD,high,Initial Jobless Claims,MT5 Calendar event 840140001; https://www.dol.gov; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-02T15:45:00+00:00,2020-01-02T15:45:01+00:00,USD,high,S&P Global Manufacturing PMI,MT5 Calendar event 840500001; https://www.markiteconomics.com; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-03T13:45:00+00:00,2020-01-03T14:45:00+00:00,ALL,none,NO_HIGH_IMPACT_EVENTS,MT5 Calendar complete USD+XAU queries; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-03T14:30:00+00:00,2020-01-03T15:30:00+00:00,ALL,none,NO_HIGH_IMPACT_EVENTS,MT5 Calendar complete USD+XAU queries; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-03T15:00:00+00:00,2020-01-03T16:00:00+00:00,ALL,none,NO_HIGH_IMPACT_EVENTS,MT5 Calendar complete USD+XAU queries; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-03T16:00:00+00:00,2020-01-03T16:00:01+00:00,USD,high,ISM Manufacturing PMI,MT5 Calendar event 840040001; https://www.ismworld.org/; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-03T16:00:00+00:00,2020-01-03T16:00:01+00:00,USD,high,ISM Manufacturing Prices Paid,MT5 Calendar event 840040002; https://www.ismworld.org/; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-03T17:00:00+00:00,2020-01-03T17:00:01+00:00,USD,high,EIA Crude Oil Stocks Change,MT5 Calendar event 840200001; https://www.eia.gov/; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-05T13:45:00+00:00,2020-01-05T14:45:00+00:00,ALL,none,NO_HIGH_IMPACT_EVENTS,MT5 Calendar complete USD+XAU queries; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
2020-01-05T14:30:00+00:00,2020-01-05T15:30:00+00:00,ALL,none,NO_HIGH_IMPACT_EVENTS,MT5 Calendar complete USD+XAU queries; raw=358096207152c1692b0664fa2ced9d2763a55fd468a5df2c40f8c0085cf8dd33
